id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
71,"Mangubhai S, Harrison PL ",2006,"Seasonal patterns of coral reproduction on equatorial reefs in Mombasa, Kenya",conference proceeding,"",Proc. 10th. Int. Coral Reef Symp,106-114,"",0,,
72,Atoda K,1947,The larva and postlarval development of some reef-building corals. II. Stylophora pistillata (Esper),paper,"",Sci Rep Tohoku Univ Ser 7,4:48-64,"",0,,
73,"Dai CF, Soonh TK, Fan TY",1992,Sexual reproduction of corals in northern and southern Taiwan,conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,"","",0,,
74,"Guest JR, Baird AH, Goh BPL, Chou LM",2005,Seasonal reproduction in equatorial reef corals,paper,"",Invertebrate reproduction and development,48: 207-218,"",0,,
75,"Shlesinger Y,Goulet TL, Loya Y",1998,Reproductive patterns of scleractinian corals in the northern Red Sea,paper,"",Marine Biology,132: 691-701,"",0,,
76,"Glynn PW, Gassman NJ, Eakin CM, CortÃƒÂ©s J, Smith DB, GuzmÃƒÂ¡n HM",1991,"Reef coral reproduction in the eastern Pacific: Costa Rica, PanamÃƒÂ¡, and the GalÃƒÂ¡pagos Islands (Ecuador). I. Pocilloporidae",paper,"",Marine Biology,109: 355-368,"",0,,
77,"Calderon EN, Castro CB, Pires DO",2000,"NatacÃƒÂ£o, assentamento e metamorfose de planulas do coral Favia gravida Verrill, 1868 (Cnidaria, Scleractinia)",paper,"",Bol Mus Nac Ns zoo,429:1-12,"",0,,
78,"Wyers SC, Barnes  HS,  Smith SR",1991,Spawning of hermatypic corals in Bermuda: a pilot study,paper,"",Hydrobiologia,216/217:109-116,"",0,,
79,"Vollmer SV, Palumbi SR",2002,Hybridization and the Evolution of Reef Coral Diversity,paper,"",Science,296: 2023-2025,"",0,,
80,"Wallace C, Willis B",1994,Systematics of the Coral Genus Acropora: Implications of New Biological Findings for Species Concepts,paper,"",Annu. Rev. Ecol. Evol. Syst. ,"","",0,,
81,"Ayre DJ, Resing JM",1986,Sexual and asexual production of planulae in reef corals,paper,"",Marine Biology,"90, 187-190","",0,,
82,Cairns SD,2001,A Generic Revision and Phylogenetic Analysis of the Dendrophylliidae (Cnidaria: Scleractinia),paper,"",smithsonian contributions to zoology,"615, 1-84","",0,,
83,Wells,1964,Ahermatypic Corals from Queensland.,paper,"","University of Queensland Papers, Department of Zoology.",2: 107-121,"",0,,
84,"Veron J.E.N, Pichon M",1982,"Scleractinia of Eastern Australia, Part 4, Family Poritidae",monograph,"",Australian institute of marine science monograph series,volume 6,"",0,,
85,Hoeksema BW,1990,Evolution of Body Size in Mushroom Corals (Scleractinia: Fungiidae) and Its Ecomorphological Consequences,paper,"",Netherlands Journal of Zoology,"41, 112-129","",0,,
86,Claereboudt M,1990,"Galaxea paucisepta nom. nov. (for G. pauciradiata), rediscovery and redescription of a poorly known scleractinian species (Oculinidae).",paper,"",Galaxea,9: 1-8,"",0,,
87,"Vargas-Angel B, Colley SB, Hoke SM, Thomas JD",2006,"The reproductive seasonality and gametogenic cycle of Acropora cervicornis off Broward County, Florida, USA",paper,"",Coral reefs,25: 110-122,"",0,,
88,"Marquis CP, Baird AH, de Nys R,Holmstrom R, Koziumi N",2005,An evaluation of the antimicrobial properties of the eggs of 11 species of scleractinian corals,paper,"",Coral reefs,24: 248-253,"",0,,
89,"Harrison PL, Wallace C",1990,"Reproduction, dispersal and recruitment of scleractinian corals",book chapter,"","Dubinsky Z (eds) Ecosystems of the world 25: Coral reefs. Elsevier, Amsterdam",133-207,"",0,,
90,"Carroll A, Harrison PL, Adjeroud M",2006,"Sexual reproduction of Acropora reef corals at Moorea, French Polynesia",paper,DOI 10.1007/s00338-005-0057-6,Coral reefs,25: 93-97,"",0,,
91,Neves E,2000,"Histological Analysis of Reproductive Trends of Three Porites Species from Kane'ohe Bay, Hawai'i",paper,"",Pacific Science,54: 195-200,"",0,,
92,"Kruzic P, Zuljevic A, Nikolic V",2008,"Spawning of the colonial coral Cladocora caespitosa (Anthozoa, Scleractinia) in the Southern Adriatic Sea",paper,DOI 10.1007/s00338-007-0334-7,Coral reefs,27:337-341,"",0,,
93,Fadlallah Y,1996,Synchronous spawning of Acropora clathrata coral colonies from the western Arabian Gulf (Saudi Arabia) ,paper,"",Bulletin of marine science,"59, 209","",0,,
94,"Fadlallah Y, Pearse JS",1982,Sexual Reproduction in Solitary Corals: Synchronous Gametogenesis and Broadcast Spawning in Paracyathus stearnsii,paper,"",Marine Biology,71: 233-239,"",0,,
95,"Fadlallah Y, Lindo RT, Lennon DJ",1992,Annual synchronous spawning event in Acropora species for the western Arabian Gulf,conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,"","",0,,
96,Fadlallah Y,1981,The reproductive biology of three species of corals from central California,PhD thesis,"",University of California santa cruz,"","",0,,
97,Fadlallah Y,1982,Reproductive Ecology of the Coral Astrangia lajollaensis: Sexual and Asexual Patterns in a Kelp Forest Habitat,paper,"",Oecologia,55:379 388,"",0,,
98,"Goffredo S, Airi V, Radetic J, Zaccanti F",2006,"Sexual reproduction of the solitary sunset cup coral Leptopsammia pruvoti (Scleractinia, Dendrophylliidae) in the Mediterranean. 2. Quantitative aspects of the annual reproductive cycle",paper,DOI 10.1007/s00227-005-0137-8,Marine Biology,148: 923-931,"",0,,
99,Fadlallah Y,1983,"Population dynamics and life history of a solitary coral, Balanophyllia elegans, from Central California",paper,"",Oecologia,58:200-207,"",0,,
100,"Neves E, Pires DO",2002,"Sexual reproduction of Brazilian coral Mussismilia hispida (Verrill, 1902)",paper,"",Coral reefs,21: 161-168,"",0,,
101,"Pires DO, Castro CB, Ratto CC",1999,"Reef coral reproduction in the Abrolhos Reef Complex, Brazil: the endemic genus Mussismilia",paper,"",Marine Biology,135: 463-471,"",0,,
102,"Goffredo S, Telo T",1998,"Hermaphroditism and brooding in the solitary coral Balanophyllia europaea (Cnidaria, Anthozoa, Scleractinia)",paper,"",Italian journal of zoology,65: 159-165,"",0,,
103,"Brooke S, Young CM",2003,"Reproductive ecology of a deep-water scleractinian coral, Oculina varicosa, from the southeast Florida shelf",paper,"",Continental Shelf Research,23: 847-858,"",0,,
104,"Bastidas C, Croquer A, Zubillaga AL, Ramos R, Kortnik V, Weinberger C, Marquez LM",2005,"Coral mass- and split-spawning at a coastal and an offshore Venezuelan reefs, southern Caribbean",paper,"",Hydrobiologia,541: 101-106,"",0,,
105,"Burgess SN, Babcock RC",2005,"Reproductive ecology of three reef-forming, deep-sea corals in the New Zealand region",book chapter,"",Cold-water Corals and Ecosystems,701-713,"",0,,
106,"Babcock RC, Baird AH, Piromvaragorn S, Thomson DP, Willis BL",2003,Identification of Scleractinian Coral Recruits from Indo-Pacific Reefs,paper,"",Zoological studies,42: 211-226,"",0,,
107,Soong K,1991,Sexual Reproductive Patterns of Shallow-water Reef Corals in Panama,paper,"",Bulletin of marine science,9: 832-846,"",0,,
108,Szmant AM,1986,Reproductive ecology of Caribbean reef corals,paper,"",Coral reefs,5: 43-54,"",0,,
109,Wyers SC,1985,"Sexual reproduction of the coral Diploria strigosa (Scleractinia, Faviidae) in Bermuda: research in progress. ",conference proceeding,"",Proc. 5th. Int. Coral Reef Symp,"","",0,,
110,"Hayashibara T, Shimoike K, Kimura T, Hosaka S, Heyward A, Harrison P, Kudo K, Omori M",1993,"Patterns of coral spawning at Akajima Island, Okinawa, Japan",paper,"",Mar Ecol Prog Ser,101: 253-262,"",0,,
111,"Leuzinger S, Anthony KR, Willis BL",2003,Reproductive energy investment in corals: scaling with module size,paper,"",Oecologia,136:524-531,"",0,,
112,"Fan TY, Dai CF",1995,Reproductive ecology of the scleractinian coral Echinoporalamellosain northern and southern Taiwan,paper,"",Marine Biology,123:565-572,"",0,,
113,"Colley SB, Feingold JS, PeÃƒÂ±a J, Glynn PW",2002,"Reproductive ecology of Diaseris distorta (Michelin) (Fungiidae) in the GalÃƒÂ¡pagos Islands, Ecuador",conference proceeding,"",Proc. 9th. Int. Coral Reef Symp,1:373- 379,"",0,,
114,Abe N,1937,Post-larval development of the coral Fungia actiniformis var. palawensis Doderlein.,paper,"",Palao Trop Bio Stat Stud ,1: 73-93,"",0,,
115,Lacaze-Duthiers H,1873,Développement des coralliaires. Actinaires à Polypiers,paper,"",Arch Zool Exp Gen,"2, 269-348","",1,,2013-08-09 06:17:41 UTC
116,Lacaze-Duthiers H,1897,"Faune du Golfe du Lion. Coralliaires, Zooanthaires, SclÃƒÂ©rodermÃƒÂ©s.",paper,"",Arch. Zool. exp. gÃƒÂ©n.,5:1-249,"",0,,
117,Duerden JE,1902,Aggregated colonies of madreporarian corals,paper,"",The american naturalist,39: 461-471,"",0,,
118,"Chanmethakul T, Chansang H, Meesawat K, Phongsuwan N",,Spawning seasons of scleractinian corals in southern part of Phuket Island,paper,"",in review,"","",1,,2013-08-09 06:14:29 UTC
119,Edmondson CH,1929,Growth of Hawaiian corals. ,paper,"",Bernice P Bishop Mus Bull, 58:1-38,"",0,,
120,Edmondson CH,1946,Behavior of coral planulae under altered saline and thermal conditions.,paper,"",Bernice P Bishop Mus Occ Pap,18:283-304,"",0,,
121,Fadlallah Y,1985,"Reproduction in the coral Pocillopora verrucosa on the reefs adjacent to the industrial city of Yanbu (Red Sea, Saudi Arabia)",conference proceeding,"",Proc. 5th. Int. Coral Reef Symp,"","",0,,
122,"Goreau NI, Goreau TJ, Hayes RL",1981,"SETTLING, SURVIVORSHIP AND SPATIAL AGGREGATION IN PLANULAE AND JUVENILES OF THE CORAL PORITES PORITES (PALLAS)",paper,"",Bulletin of marine science,31:424-435,"",0,,
123,"Harii S, Omori M, Yamakawa H, Koike Y",2001,Sexual reproduction and larval settlement of the zooxanthellate coral Alveopora japonica Eguchi at high latitudes,paper,"",Coral reefs, 20: 19-23,"",0,,
124,"Thamrin, Nojima S, Tokeshi M",2001,Experimental analysis of planula release in a scleractinian coral Alveopora japonica,paper,"",Galaxea,3: 25-30,"",0,,
125,Harriott VJ,1983,"Reproductive seasonality, settlement, and post-settlement mortality of Pocillopora damicornis (Linnaeus), at Lizard Island, Great Barrier Reef",paper,"",Coral reefs,2: 151-157,"",0,,
126,"Heltzel PS, Babcock RC",2002,"Sexual reproduction, larval development and benthic planulae of the solitary coral Monomyces rubrum (Scleractinia: Anthozoa)",paper,"",Marine Biology,140:659-667,"",0,,
127,Heyward AJ,1986,Sexual reproduction in five species of the coral Montipora,book chapter,"","Coral reef population biology (ed Jokiel PL, Richmond RH) ","","",0,,
128,"Heyward A J, Yamazato K, Yeemin T, Minei M ",1987,Sexual reproduction of corals in Okinawa.,paper,"",Galaxea,6:331-343,"",0,,
129,Kenyon JC,1995,Latitudinal Differences between Palau and Yap in Coral Reproductive Synchrony,paper,"",Pacific Science,49: 156-164,"",0,,
130,Kinzie III RA,1993,"Spawning in the reef corals Pocillopora verrucosa and P. eydouxi at Sesoko island, Okinawa",paper,"",Galaxea,11: 93-105,"",0,,
131,"Kojis BL, Quinn NJ",1981,Reproductive strategies in four species of Porites (Scleractinia),conference proceeding,"",Proc. 4th. Int. Coral Reef Symp,"","creo que este es b, sobre 2 porites",0,,
132,"Kojis BL, Quinn NJ",1982,Reproductive ecology of two Faviid corals (Coelenterata: Scleractinia),paper,"",Mar Ecol Prog Ser,8: 251-252,"",0,,
133,Kojis BL,1986,"Sexual reproduction in Acropora (Isopora) species (Coelenterata: Scleractinia) I. A. cuneata and A. palifera on Heron Island reef, Great Barrier Reef",paper,"",Marine Biology,91: 291-309 ,kojis 1986a,0,,
134,Krupp D,1983,Sexual reproduction and early development of the solitary coral Fungia scutaria (Anthozoa: Scleractinia),paper,"",Coral reefs,3:159-164,"",0,,
135,"Mangubhai S, Harrison PL ",2008,Asynchronous coral spawning patterns on equatorial reefs in Kenya,paper,"",Mar Ecol Prog Ser,360: 85-96,"",0,,
136,Mavor JW,1915,On the development of the coral Agaricia fragilis Dana,paper,"",Proc. Am. Acad. Arts Sci,51: 483-511,"",0,,
137,"Nakano Y, Yamazato K",1992,Ecological study of reproduction of Oulastrea crispata in Okinawa. ,paper,"",Zool Sci,"9,  1292","",0,,
138,Oliver JK,1985,An evaluation of the biological and economic aspects of commercial coral collecting in the Great Barrier Reef Region,paper,"",Final report GBRMPA,October 106,"",0,,
139,"Pires DO, Castro CB, Ratto CC",2000,"Reproduction of the solitary coral Scolymia wellsi Laborel (Cnidaria, Scleractinia) from the Abrolhos reef complex, Brazil",conference proceeding,"",Proc. 9th. Int. Coral Reef Symp,"",jcu database as pires et al 1999b,0,,
140,Sakai K,1997,"Gametogenesis, spawning, and planula brooding by the reef coral Goniastrea aspera (Scleractinia) in Okinawa, Japan",paper,"",Mar Ecol Prog Ser,151: 67-72,"",0,,
141,"Shimoike K, Hayashibara T, Kimura T, Omori M",1992,"Observations of split spawning in Acropora spp at Akajima Island, Okinawa",conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,"","",0,,
142,Stimson JS,1976,Reproduction of some common Hawaiian reef corals,book chapter,"",Coelenterate ecology and behaviour (ed Mackie GO),"","",0,,
143,"Szmant AM, Weil E, Miller MW, Colon DE",1997,Hybridazation wuthin the species complex of the scleractinian coral Montastrea annularis,paper,"",Marine Biology,129:561-572,"",0,,
